"Date","Case_Status","Cases_Count"
"2020-12-02","Recovered",1963
"2020-12-03","Active",70
"2020-12-03","Deceased",25
"2020-12-03","Recovered",1972
"2020-12-04","Active",61
"2020-12-04","Deceased",25
"2020-12-04","Recovered",1983
"2020-12-05","Active",59
"2020-12-05","Deceased",25
"2020-12-05","Recovered",1994
"2020-12-06","Active",56
"2020-12-06","Deceased",25
"2020-12-06","Recovered",1997
"2020-12-07","Active",56
"2020-12-07","Deceased",25
"2020-12-07","Recovered",1998
"2020-12-08","Active",54
"2020-12-08","Deceased",25
"2020-12-08","Recovered",2006
"2020-12-09","Active",55
"2020-12-09","Deceased",25
"2020-12-09","Recovered",2008
"2020-12-11","Active",57
"2020-12-11","Deceased",25
"2020-12-11","Recovered",2010
"2020-12-13","Active",56
"2020-12-13","Deceased",25
"2020-12-13","Recovered",2015
"2020-12-14","Active",56
"2020-12-14","Deceased",25
"2020-12-14","Recovered",2015
"2020-12-15","Active",43
"2020-12-15","Deceased",25
"2020-12-15","Recovered",2032
"2020-12-16","Active",43
"2020-12-16","Deceased",25
"2020-12-16","Recovered",2032
"2020-12-18","Active",51
"2020-12-18","Deceased",25
"2020-12-18","Recovered",2034
"2020-12-20","Active",55
"2020-12-20","Deceased",25
"2020-12-20","Recovered",2036
"2020-12-21","Active",59
"2020-12-21","Deceased",25
"2020-12-21","Recovered",2037
"2020-12-23","Active",49
"2020-12-23","Deceased",25
"2020-12-23","Recovered",2054
"2020-12-27","Active",50
"2020-12-27","Deceased",25
"2020-12-27","Recovered",2069
"2020-12-29","Active",49
"2020-12-29","Deceased",25
"2020-12-29","Recovered",2077
"2020-12-31","Active",55
"2020-12-31","Deceased",25
"2020-12-31","Recovered",2082
"2021-01-03","Active",72
"2021-01-03","Deceased",25
"2021-01-03","Recovered",2084
"2021-01-05","Active",61
"2021-01-05","Deceased",25
"2021-01-05","Recovered",2100
"2021-01-07","Active",62
"2021-01-07","Deceased",25
"2021-01-07","Recovered",2101
"2021-01-10","Active",75
"2021-01-10","Deceased",25
"2021-01-10","Recovered",2119
