"Location","Report_date","Cases"
"Total","2020-12-23",3
"Total","2020-12-22",2
"Total","2020-12-21",5
"Total","2020-12-20",4
"Total","2020-12-19",7
"Total","2020-12-18",2
"Total","2020-12-17",4
"Total","2020-12-16",4
"Total","2020-12-15",0
"Total","2020-12-14",4
"Total","2020-12-13",0
"Total","2020-12-12",5
"Total","2020-12-11",1
"Total","2020-12-10",3
"Total","2020-12-09",2
"Total","2020-12-08",2
"Total","2020-12-07",6
"Total","2020-12-06",2
"Total","2020-12-05",0
"Total","2020-12-04",9
"Total","2020-12-03",3
"Total","2020-12-02",2
"Total","2020-12-01",3
"Total","2020-11-30",6
"Total","2020-11-29",3
"Total","2020-11-28",4
"Total","2020-11-27",3
"Total","2020-11-26",7
"Total","2020-11-25",1
"Total","2020-11-24",3
"Total","2020-11-23",10
"Total","2020-11-22",2
"Total","2020-11-21",6
"Total","2020-11-20",4
"Total","2020-11-19",1
"Total","2020-11-18",8
"Total","2020-11-17",1
"Total","2020-11-16",3
"Total","2020-11-15",1
"Total","2020-11-14",3
"Total","2020-11-13",3
"Total","2020-11-12",4
"Total","2020-11-11",3
"Total","2020-11-10",1
"Total","2020-11-09",4
"Total","2020-11-08",1
"Total","2020-11-07",6
"Total","2020-11-06",1
"Total","2020-11-05",1
"Total","2020-11-04",3
"Total","2020-11-03",1
"Total","2020-11-02",5
"Total","2020-11-01",3
"Total","2020-10-31",5
"Total","2020-10-30",6
"Total","2020-10-29",1
"Total","2020-10-28",6
"Total","2020-10-27",3
"Total","2020-10-26",1
"Total","2020-10-25",4
"Total","2020-10-24",0
"Total","2020-10-23",18
"Total","2020-10-22",3
"Total","2020-10-21",4
"Total","2020-10-20",22
"Total","2020-10-19",1
"Total","2020-10-18",1
"Total","2020-10-17",4
"Total","2020-10-16",1
"Total","2020-10-15",5
"Total","2020-10-14",1
"Total","2020-10-13",2
"Total","2020-10-12",1
"Total","2020-10-11",3
"Total","2020-10-10",0
"Total","2020-10-09",4
"Total","2020-10-08",3
"Total","2020-10-07",3
"Total","2020-10-06",2
"Total","2020-10-05",3
"Total","2020-10-04",2
"Total","2020-10-03",4
"Total","2020-10-02",2
"Total","2020-10-01",6
"Total","2020-09-30",6
"Total","2020-09-29",0
"Total","2020-09-28",1
"Total","2020-09-27",2
"Total","2020-09-26",2
"Total","2020-09-25",1
"Total","2020-09-24",2
"Total","2020-09-23",3
"Total","2020-09-22",3
"Total","2020-09-21",1
"Total","2020-09-20",0
"Total","2020-09-19",3
"Total","2020-09-18",3
"Total","2020-09-17",0
"Total","2020-09-16",12
"Total","2020-09-15",0
"Total","2020-09-14",5
"Total","2020-09-13",1
"Total","2020-09-12",2
"Total","2020-09-11",2
"Total","2020-09-10",2
"Total","2020-09-09",3
"Total","2020-09-08",6
"Total","2020-09-07",6
"Total","2020-09-06",3
"Total","2020-09-05",7
"Total","2020-09-04",5
"Total","2020-09-03",3
"Total","2020-09-02",5
"Total","2020-09-01",6
"Total","2020-08-31",14
"Total","2020-08-30",5
"Total","2020-08-29",4
"Total","2020-08-28",18
"Total","2020-08-27",6
"Total","2020-08-26",7
"Total","2020-08-25",4
